Linear_Setpoint,Linear_Velocity,Robot_Pixel,Robot_Pixel_Setpoint,Angular_Velocity
0.22,0.219752,321,320,0.00075188
0.22,0.20013699999999998,329,320,-0.0661654
0.22,0.196113,330,320,-0.081203
0.22,0.2054050000000001,325,320,-0.047368400000000005
0.22,0.214202,321,320,-0.018045099999999998
0.22,0.21396700000000002,321,320,-0.018797
0.22,0.21634,320,320,-0.0112782
0.22,0.21634,320,320,-0.0112782
0.22,0.186192,304,320,0.121053
0.22,0.21706199999999998,319,320,0.00902256
0.22,0.20518899999999998,326,320,-0.048120300000000005
0.22,0.201585,327,320,-0.0609023
0.22,0.189446,306,320,0.107519
0.22,0.21925799999999998,320,320,0.00225564
0.22,0.20305299999999998,327,320,-0.0556391
0.22,0.197103,329,320,-0.0774436
0.22,0.211646,322,320,-0.0263158
0.22,0.213733,321,320,-0.0195489
0.22,0.21349899999999997,321,320,-0.020300799999999997
0.22,0.21586100000000005,320,320,-0.012782
0.22,0.218521,319,320,-0.00451128
0.22,0.218766,319,320,-0.0037594
0.22,0.186192,304,320,0.121053
0.22,0.21706199999999998,319,320,0.00902256
0.22,0.21005,324,320,-0.0315789
0.22,0.195327,330,320,-0.08421050000000001
0.22,0.197703,328,320,-0.075188
0.22,0.21778899999999998,319,320,-0.00676692
0.22,0.218033,319,320,-0.00601504
0.22,0.21901199999999998,318,320,0.00300752
0.22,0.218766,319,320,-0.0037594
0.22,0.21901199999999998,319,320,-0.00300752
0.22,0.21925799999999998,319,320,-0.00225564
0.22,0.185837,304,320,0.122556
0.22,0.218033,321,320,-0.00601504
0.22,0.199727,312,320,0.0676692
0.22,0.195523,331,320,-0.08345860000000001
0.22,0.193391,331,320,-0.0917293
0.22,0.202632,312,320,0.057142899999999996
0.22,0.194354,309,320,0.08796989999999999
0.22,0.20627399999999999,326,320,-0.0443609
0.22,0.187624,334,320,-0.11503800000000006
0.22,0.216821,320,320,-0.00977444
0.22,0.195327,329,320,-0.08421050000000001
0.22,0.202421,311,320,0.0578947
0.22,0.196113,309,320,0.081203
0.22,0.19750299999999998,329,320,-0.0759398
0.22,0.21467399999999998,321,320,-0.0165414
0.22,0.183391,335,320,-0.13308299999999998
0.22,0.192627,329,320,-0.09473680000000001
0.22,0.201793,324,320,-0.0601504
0.22,0.194937,306,320,0.08571430000000001
0.22,0.21118699999999999,321,320,-0.0278195
0.22,0.201376,325,320,-0.061654099999999996
0.22,0.198104,326,320,-0.0736842
0.22,0.192437,305,320,0.0954887
0.22,0.21706199999999998,319,320,-0.00902256
0.22,0.204759,324,320,-0.0496241
0.22,0.190743,330,320,-0.102256
0.22,0.207812,312,320,0.0390977
0.22,0.21586100000000005,319,320,-0.012782
0.22,0.188349,304,320,0.11202999999999999
0.22,0.20959899999999998,323,320,-0.0330827
0.22,0.201793,326,320,-0.0601504
0.22,0.199727,310,320,0.0676692
0.22,0.18926300000000001,306,320,0.108271
0.22,0.21303200000000005,323,320,-0.021804499999999997
0.22,0.193775,331,320,-0.0902256
0.22,0.18185199999999999,336,320,-0.13985
0.22,0.190743,330,320,-0.102256
0.22,0.20649299999999998,322,320,-0.043608999999999995
0.22,0.18443099999999998,301,320,0.128571
0.22,0.210277,322,320,-0.030827099999999996
0.22,0.189631,331,320,-0.106767
